State,Percentage Of Drivers Involved In Fatal Collisions Who Had Not Been Involved In Any Previous Accidents
Kentucky,76
Michigan,77
New Jersey,78
Rhode Island,79
Alabama,80
New York,80
Massachusetts,80
Tennessee,81
South Carolina,81
North Carolina,81
Ohio,82
Connecticut,82
New Hampshire,83
Wisconsin,84
Maine,84
Missouri,84
Kansas,85
Montana,85
Washington,86
South Dakota,86
North Dakota,86
West Virginia,87
Texas,87
Hawaii,87
Iowa,87
Virginia,88
Minnesota,88
Pennsylvania,88
California,89
Oregon,90
Wyoming,90
Nebraska,90
Georgia,93
Florida,94
Oklahoma,94
Alaska,94
Colorado,95
Indiana,95
Vermont,95
Arkansas,95
Illinois,96
Utah,96
Arizona,96
Louisiana,98
Idaho,98
New Mexico,98
Maryland,99
Nevada,99
Delaware,99
District of Columbia,100
Mississippi,100
